Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","PC",4536423,"4536423","Pc Lenovo Edge 72 Pentium G645 2Gb 500Gb Free Dos 3484Cwp",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"","","","94004","","48470","Lenovo","3484Cwp","","",0,,549,"Pc Lenovo Edge",,0,0,,"","",12,12,"",True,True,0,0,0,"","3484Cwp","Pc Lenovo Edge 72 Pentium G645 2Gb 500Gb Free Dos 3484Cwp","pc-lenovo-edge-72-pentium-g645-2gb-500gb-free-dos-3484cwp","","",""
"A","PC",4449967,"4449967","Pc Lenovo Edge 72 Sff Core I3 3.4Ghz 4Gb 500Gb W7P",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"4449966_pr.jpg","4449966_det.jpg,4449966_det2.jpg,4449966_det3.jpg","4449966_amp.jpg,4449966_amp2.jpg,4449966_amp3.jpg","94004","","48470","Lenovo","3493Mjp","","",0,,549,"Pc Lenovo Edge",,0,0,,"Frames/4449967.htm","",12,12,"00888228597942",True,True,0,0,0,"","3493Mjp","Pc Lenovo Edge 72 Sff Core I3 3.4Ghz 4Gb 500Gb W7P","pc-lenovo-edge-72-sff-intel-core-i3-3-4-ghz-4gb-500gb-w7-pro-dvd-w-8-pro","","",""
"A","PC",4536424,"4536424","Pc Lenovo Edge 72 Sff Core I3-3240 4Gb 500Gb W8 Pro 3497S1P",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"4536424_pr.jpg","4536424_det.jpg","4536424_amp.jpg","94004","","48470","Lenovo","3497S1P","","",0,,549,"Pc Lenovo Edge",,0,0,,"Frames/4536424.htm","",12,12,"",True,True,0,0,0,"","3497S1P","Pc Lenovo Edge 72 Sff Core I3-3240 4Gb 500Gb W8 Pro 3497S1P","pc-lenovo-edge-72-sff-core-i3-3240-4gb-500gb-w8-pro-64-bits-3497s1p","","",""
"A","PC",4632891,"4632891","Pc Lenovo Edge E73 Core I5-4570S 4Gb 1Tb W8 64Bit 10As007Kbp",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"4632891_pr.jpg","4632891_det.jpg","4632891_amp.jpg","94004","","48470","Lenovo","10As007Kbp","","",0,,549,"Pc Lenovo Edge",,0,0,,"Frames/4632891.htm","",12,12,"",True,True,0,0,0,"","10As007Kbp","Pc Lenovo Edge E73 Core I5-4570S 4Gb 1Tb W8 64Bit 10As007Kbp","pc-lenovo-edge-e73-core-i5-4570s-4gb-1tb-w8-64bits-10as007kbp","","",""
"A","PC",4536427,"4536427","Pc Lenovo Emc Px4-300D Network Storage Pro 12Tb 70A79002La",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"4536427_pr.jpg","4536427_det.jpg,4536427_det2.jpg","4536427_amp.jpg,4536427_amp2.jpg","94004","","48470","Lenovo","70A79002La","","",0,,549,"Pc Lenovo Emc",,0,0,,"Frames/4536427.htm","",12,12,"",True,True,0,0,0,"","70A79002La","Pc Lenovo Emc Px4-300D Network Storage Pro 12Tb 70A79002La","pc-lenovo-emc-px4-300d-network-storage-pro-series-12tb-4hd-x-3tb-la-70a79002la","","",""
"A","PC",4536428,"4536428","Pc Lenovo Emc Px6-300D Network Storage Pro 12Tb 70B99005La",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"4536428_pr.jpg","4536428_det.jpg,4536428_det2.jpg,4536428_det3.jpg","4536428_amp.jpg,4536428_amp2.jpg,4536428_amp3.jpg","94004","","48470","Lenovo","70B99005La","","",0,,549,"Pc Lenovo Emc",,0,0,,"Frames/4536428.htm","",12,12,"00887942154332",True,True,0,0,0,"","70B99005La","Pc Lenovo Emc Px6-300D Network Storage Pro 12Tb 70B99005La","pc-lenovo-emc-px6-300d-network-storage-pro-series-12tb-6hd-x-2tb-la-70b99005la","","",""
"A","PC",4536429,"4536429","Pc Lenovo Emc Px6-300D Network Storage Pro 6Tb 70B99001La",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"4536429_pr.jpg","4536429_det.jpg,4536429_det2.jpg,4536429_det3.jpg","4536429_amp.jpg,4536429_amp2.jpg,4536429_amp3.jpg","94004","","48470","Lenovo","70B99001La","","",0,,549,"Pc Lenovo Emc",,0,0,,"Frames/4536429.htm","",12,12,"",True,True,0,0,0,"","70B99001La","Pc Lenovo Emc Px6-300D Network Storage Pro 6Tb 70B99001La","pc-lenovo-emc-px6-300d-network-storage-pro-series-6tb-3hd-x-2tb-la-70b99001la","","",""
"A","PC",3287061,"3287061","Pc Lenovo M81 Core I3-2120 4Gb 500Gb W7 5049G7P",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"3287061_pr.jpg","3287061_det.jpg","3287061_amp.jpg","94004","","48470","Lenovo","5049G7P","","",0,,549,"Pc Lenovo M81",,0,0,,"Frames/3287061.htm","computador,pc lenovo,computador lenovo,",12,12,"",True,True,0,0,0,"","5049G7P","Pc Lenovo M81 Core I3-2120 4Gb 500Gb W7 5049G7P","pc-lenovo-m81-core-i3-2120-4gb-500gb-w7-5049g7p","","",""
"A","PC",5495593,"5495593","Pc Lenovo M83 Sff Core I3-4160 8Gb 500Gb W8.1P 10Aha1Ckbp",0.02,"<!--PREC--><!--Z00M-->","<!--AGIS-->","",False,88,0,True,0,2019.33,2382.81,2382.81,0,0,,,False,True,"10Aha1Ckbp_1.jpg","10Aha1Ckbp_1.jpg,10Aha1Ckbp_2.jpg,10Aha1Ckbp_3.jpg","10Aha1Ckbp_1.jpg,10Aha1Ckbp_2.jpg,10Aha1Ckbp_3.jpg","94004","60071","48472","Lenovo","10Aha1Ckbp","S - SE - CO - NE","",0,,16,"Pc Lenovo M83, Pc Lenovo,",,0,0,,"Frames/5495593.htm","Pc Lenovo,Pc Lenovo M83, Pc I3,I3-4160, Pc Lenovo M83 Ssf,Pc Lenovo M83 Ssf I3-4160, computador lenovo, computador i3,",12,12,"00889561787939",True,True,0,0,0,"","10Aha1Ckbp","Pc Lenovo M83 Ssf I3-4160 8Gb 500Gb W8.1P","pc-lenovo-m83-ssf-core-i3-4160-8gb-500gb-w8-1p-10aha1ckbp","","Desktop Lenovo, Gabinete SFF, Core i3-4160, Freqüência 3.6 GHz, Cache 3Mb, Memoria 8Gb, 1600MHz DDR3, HD 500GB SATA 7200rpm,*FRETE GRÁTIS",""
"A","PC",4578741,"4578741","Pc Lenovo M83 Ssf Core I5-4570 4Gb 1Tb W8 Pro 10Ah000Wbp",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"4578741_pr.jpg","4578741_det.jpg","4578741_amp.jpg","94004","","48470","Lenovo","10Ah000Wbp","","",0,,549,"Pc Lenovo M83",,0,0,,"Frames/4578741.htm","",12,12,"00887942357160",True,True,0,0,0,"","10Ah000Wbp","Pc Lenovo M83 Ssf Core I5-4570 4Gb 1Tb W8 Pro 10Ah000Wbp","pc-lenovo-m83-ssf-core-i5-4570-4gb-1tb-w8-pro-10ah000wbp","","",""
